source,text,timestamp,url,source_name,id
blog,Malware infection hits energy companies in New York,2025-03-29 01:10:24,https://news.cyberdaily.com/article/1,The Hacker News,1
blog,Credential stuffing hits energy companies in Mumbai,2025-03-30 18:19:54,https://news.cyberdaily.com/article/2,SecurityWeek,2
news,Phishing campaign hits telecom companies in Mumbai,2025-03-12 07:29:52,https://news.cyberdaily.com/article/3,CyberWire,3
news,Insider threat hits telecom companies in Mumbai,2025-03-22 21:59:24,https://news.cyberdaily.com/article/4,SC Magazine,4
report,Ransomware attack hits universities in Singapore,2025-04-04 04:00:30,https://news.cyberdaily.com/article/5,CyberWire,5
report,Zero-day exploit hits energy companies in Toronto,2025-04-02 22:28:37,https://news.cyberdaily.com/article/6,SC Magazine,6
report,Phishing campaign hits cybersecurity firms in Singapore,2025-03-30 00:06:45,https://news.cyberdaily.com/article/7,SecurityWeek,7
report,Data breach hits financial institutions in London,2025-03-25 01:42:54,https://news.cyberdaily.com/article/8,DarkReading,8
news,Data breach hits cybersecurity firms in Toronto,2025-04-02 11:36:21,https://news.cyberdaily.com/article/9,SC Magazine,9
report,Zero-day exploit hits healthcare providers in Tokyo,2025-03-27 17:29:16,https://news.cyberdaily.com/article/10,ThreatPost,10
news,Phishing campaign hits telecom companies in Singapore,2025-04-07 16:01:10,https://news.cyberdaily.com/article/11,CyberWire,11
blog,Zero-day exploit hits cybersecurity firms in London,2025-03-20 22:50:04,https://news.cyberdaily.com/article/12,The Hacker News,12
report,Insider threat hits healthcare providers in Toronto,2025-04-03 20:19:59,https://news.cyberdaily.com/article/13,ThreatPost,13
report,Insider threat hits cybersecurity firms in London,2025-03-17 02:35:45,https://news.cyberdaily.com/article/14,DarkReading,14
news,Zero-day exploit hits government agencies in Mumbai,2025-03-24 00:41:42,https://news.cyberdaily.com/article/15,ThreatPost,15
blog,DDoS attack hits financial institutions in Mumbai,2025-03-17 03:08:45,https://news.cyberdaily.com/article/16,CyberWire,16
news,Ransomware attack hits telecom companies in Berlin,2025-03-14 22:48:58,https://news.cyberdaily.com/article/17,CyberWire,17
news,Malware infection hits e-commerce platforms in Tokyo,2025-03-22 12:11:28,https://news.cyberdaily.com/article/18,SC Magazine,18
blog,Malware infection hits e-commerce platforms in Singapore,2025-04-05 04:48:42,https://news.cyberdaily.com/article/19,SC Magazine,19
report,Zero-day exploit hits healthcare providers in Toronto,2025-04-08 13:35:49,https://news.cyberdaily.com/article/20,CyberWire,20
news,Credential stuffing hits universities in Tokyo,2025-03-17 11:33:09,https://news.cyberdaily.com/article/21,CyberWire,21
blog,Insider threat hits healthcare providers in Tokyo,2025-03-25 09:40:42,https://news.cyberdaily.com/article/22,ThreatPost,22
news,Zero-day exploit hits energy companies in New York,2025-03-15 03:23:52,https://news.cyberdaily.com/article/23,ThreatPost,23
news,Phishing campaign hits financial institutions in London,2025-03-13 22:14:47,https://news.cyberdaily.com/article/24,CyberWire,24
news,Phishing campaign hits healthcare providers in Dubai,2025-03-26 09:02:16,https://news.cyberdaily.com/article/25,SecurityWeek,25
news,Ransomware attack hits financial institutions in New York,2025-04-02 06:24:59,https://news.cyberdaily.com/article/26,ThreatPost,26
report,Ransomware attack hits cybersecurity firms in Tokyo,2025-04-06 12:33:37,https://news.cyberdaily.com/article/27,CyberWire,27
blog,Data breach hits energy companies in London,2025-03-15 05:39:20,https://news.cyberdaily.com/article/28,CyberWire,28
blog,Phishing campaign hits healthcare providers in Mumbai,2025-03-27 12:31:37,https://news.cyberdaily.com/article/29,DarkReading,29
news,DDoS attack hits financial institutions in Singapore,2025-03-31 10:10:37,https://news.cyberdaily.com/article/30,The Hacker News,30
blog,Ransomware attack hits energy companies in Tokyo,2025-03-25 16:43:34,https://news.cyberdaily.com/article/31,SecurityWeek,31
news,Credential stuffing hits telecom companies in Tokyo,2025-04-09 00:03:54,https://news.cyberdaily.com/article/32,SC Magazine,32
report,DDoS attack hits telecom companies in Toronto,2025-03-20 06:33:50,https://news.cyberdaily.com/article/33,SecurityWeek,33
